stable_id	Mass	pI	Charge	NumResidues	CAI
SPAC3G9.09c	34525.74	6.4168	-0.5	306	0.568
SPBC4F6.15c	28637.73	6.4043	-0.5	252	0.414
SPAC11D3.04c	14645.47	6.3479	-0.5	130	0.392
SPAC1296.04	28583.09	6.3667	-0.5	248	0.381
SPBC651.10	44739.04	6.3653	-0.5	388	0.371
SPCC663.09c	27946.75	6.3643	-0.5	253	0.479
SPAC1F12.07	42797.64	6.4570	-0.5	389	0.485
SPBC2G2.16	45590.24	6.4283	-0.5	412	0.439
SPCPJ732.03	17813.77	5.9535	-0.5	150	0.424
SPAC343.14c	43221.42	6.4270	-0.5	393	0.456
SPAC110.03	21329.51	6.3838	-0.5	192	0.516
SPBC27B12.05	55372.71	6.4550	-0.5	482	0.374
SPBC13G1.04c	33861.56	6.3774	-0.5	297	0.435
SPCC285.10c	42869.53	6.3979	-0.5	382	0.360
SPCC4G3.07c	51284.51	6.4467	-0.5	461	0.407
SPBC336.09c	61910.54	6.4474	-0.5	537	0.395
SPAPB8E5.02c	51618.41	6.4398	-0.5	443	0.464
SPCC1840.05c	65494.46	6.4710	-0.5	587	0.458
SPAC4F10.14c	16202.41	6.0013	-0.5	151	0.690
SPBC21D10.08c	31756.87	6.4007	-0.5	277	0.422
SPAC1399.04c	24155.28	5.9585	-0.5	220	0.472
SPCC1906.01	39718.87	6.4262	-0.5	363	0.637
SPBC1703.04	77254.03	6.4647	-0.5	684	0.378
SPCC548.03c	40133.13	6.2701	-0.5	363	0.350
SPAC1420.03	51618.41	6.4398	-0.5	443	0.465
SPAC589.06c	21741.77	5.9081	-0.5	202	0.600
SPBC19C7.05	16384.32	5.8360	-0.5	150	0.475
SPBC609.04	59140.61	6.4189	-0.5	531	0.392
SPAC1002.18	44210.89	6.3277	-0.5	399	0.517
SPBC1778.03c	42807.72	6.4016	-0.5	376	0.411
SPBC30D10.13c	39623.53	6.3787	-0.5	366	0.584
SPAC30.03c	25493.23	6.4006	-0.5	220	0.404
SPBC1D7.01	12647.41	6.2652	-0.5	112	0.342
SPCC965.07c	26843.47	6.4031	-0.5	230	0.527
SPBC29A3.10c	11569.93	5.8966	-0.5	103	0.504
SPAC16E8.12c	24073.19	6.3075	-0.5	211	0.386
